Año;Mes;Temperatura;Precipitacion;Humedad;Rendimiento
2015;11;28,41;10,64;90,00;0,50
2015;12;31,46;4,45;76,00;0,50
2016;1;29,72;2,77;84,00;0,50
2016;2;30,02;9,79;82,00;0,50
2016;3;30,43;11,05;87,00;0,50
2016;4;28,89;12,31;87,50;0,50
2016;5;29,44;8,04;88,00;0,50
2016;6;29,71;3,65;81,00;0,50
2016;7;30,45;1,86;80,00;0,50
2016;8;31,80;3,14;78,50;0,50
2016;9;30,77;6,53;83,00;0,50
2016;10;28,74;9,34;91,00;0,50
2016;11;27,53;14,65;90,00;0,50
2016;12;28,35;12,51;89,00;0,50
2017;1;28,59;9,54;85,00;0,50
2017;2;28,65;3,14;81,00;0,50
2017;3;28,18;15,95;88,00;0,50
2017;4;29,33;13,23;89,00;0,50
2017;5;28,83;16,93;90,00;0,50
2017;6;28,70;8,14;90,00;0,50
2017;7;30,68;1,49;75,00;0,50
2017;8;30,31;7,15;86,50;0,50
2017;9;30,01;11,82;85,00;0,50
2017;10;29,09;15,92;87,00;0,50
2017;11;28,05;18,93;91,00;0,50
2017;12;28,62;9,67;85,00;0,50
2018;1;28,37;16,10;86,00;0,50
2018;2;28,50;10,41;84,00;0,50
2018;3;28,97;9,78;85,00;0,50
2018;4;28,56;12,76;89,50;0,50
2018;5;28,49;17,71;87,50;0,50
2018;6;29,27;1,90;81,00;0,50
2018;7;29,90;3,60;79,00;0,50
2018;8;31,19;5,52;76,00;0,50
2018;9;30,41;11,70;88,00;0,50
2018;10;27,51;19,84;89,00;0,50
2018;11;28,03;18,74;90,00;0,50
2018;12;28,66;12,53;83,00;0,50
2019;1;29,08;9,43;86,00;0,50
2019;2;28,36;14,00;88,00;0,50
2019;3;27,92;17,51;87,00;0,50
2019;4;28,44;16,49;86,50;0,50
2019;5;28,67;9,53;88,00;0,50
2019;6;29,46;2,99;76,00;0,50
2019;7;30,24;4,85;80,00;0,50
2019;8;31,92;3,19;65,00;0,50
2019;9;30,81;8,10;83,50;0,50
2019;10;28,49;14,66;88,00;0,50
2019;11;28,21;9,18;87,00;0,50
2019;12;28,84;8,28;83,00;0,50
2020;1;29,80;2,02;81,00;0,75
2020;2;30,68;9,63;78,00;0,75
2020;3;28,94;3,50;85,00;0,75
2020;4;30,11;9,01;85,50;0,75
2020;5;29,89;4,19;88,00;0,75
2020;6;28,75;7,47;82,50;0,75
2020;7;29,15;3,25;86,00;0,75
2020;8;30,08;13,43;87,00;0,75
2020;9;29,72;5,68;90,00;0,75
2020;10;28,81;11,30;91,00;0,75
2020;11;27,56;18,33;93,00;0,75
2020;12;28,00;12,18;90,00;0,75
2021;1;28,51;2,84;85,00;0,67
2021;2;28,62;9,10;85,00;0,67
2021;3;28,34;8,56;88,00;0,67
2021;4;28,58;13,95;93,00;0,67
2021;5;28,94;6,01;90,00;0,67
2021;6;28,28;10,86;88,00;0,67
2021;7;30,03;2,04;76,00;0,67
2021;8;29,25;9,34;89,00;0,67
2021;9;29,01;4,69;83,50;0,67
2021;10;28,23;13,56;89,00;0,67
2021;11;27,44;24,12;89,50;0,67
2021;12;27,39;16,99;88,00;0,67
2022;1;27,14;14,80;85,00;0,67
2022;2;27,10;14,20;86,00;0,67
2022;3;28,01;17,75;88,00;0,67
2022;4;27,88;17,87;91,00;0,67
2022;5;28,34;6,93;88,00;0,67
2022;6;27,41;9,39;91,00;0,67
2022;7;28,91;5,80;89,00;0,67
2022;8;29,64;4,80;88,00;0,67
2022;9;28,83;15,19;86,50;0,67
2022;10;27,92;16,20;90,00;0,67
2022;11;27,29;17,73;89,00;0,67
2022;12;27,26;10,78;87,00;0,67
2023;1;27,06;12,46;87,00;0,75
2023;2;28,56;8,12;85,00;0,75
2023;3;27,54;14,09;88,00;0,75
2023;4;27,92;9,98;87,50;0,75
2023;5;29,32;7,41;83,00;0,75
2023;6;29,71;6,14;82,00;0,75
2023;7;30,44;6,00;87,00;0,75
2023;8;30,83;5,15;85,00;0,75
2023;9;31,47;4,52;81,50;0,75
2023;10;28,88;18,35;89,00;0,75
2023;11;29,09;7,72;89,00;0,75
2023;12;29,35;6,58;84,00;0,75
